Site ID,DBN,Site Name,Site Street Address,Site Zip Code,Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
X111,11X111,P.S. 111 SETON FALLS,3740 BAYCHESTER AVENUE,10466,3740 BAYCHESTER AVENUE 10466,FY15,2.8
M149,03M149,P.S. 149 SOJOURNER TRUTH,41 WEST 117 STREET,10026,41 WEST 117 STREET 10026,FY13,2.8
M175,05M175,P.S. 175 HENRY H GARNET,175 WEST 134 STREET,10030,175 WEST 134 STREET 10030,FY15,2.8
K178,23K178,P.S. 178 SAINT CLAIR MCKELWAY,2163 DEAN STREET,11233,2163 DEAN STREET 11233,FY13,2.8
K181,17K181,P.S. 181 BROOKLYN,1023 NEW YORK AVENUE,11203,1023 NEW YORK AVENUE 11203,FY15,2.8
M184,01M184,P.S. 184M SHUANG WEN,327 CHERRY STREET,10002,327 CHERRY STREET 10002,FY15,2.8
M200,05M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,2589 7 AVENUE,10039,2589 7 AVENUE 10039,FY15,2.8
K208,18K208,P.S. 208 ELSA EBELING,4801 AVENUE D,11203,4801 AVENUE D 11203,FY13,2.8
K229,20K229,P.S. 229 DYKER,1400 BENSON AVENUE,11228,1400 BENSON AVENUE 11228,FY13,2.8
K245,22K245,P.S. 245,249 EAST 17TH STREET,11226,249 EAST 17TH STREET 11226,FY15,2.8
K272,18K272,P.S. 272 CURTIS ESTABROOK,101-24 SEAVIEW AVENUE,11236,101-24 SEAVIEW AVENUE 11236,FY15,2.8
KBDN,18K700,"RAVEN'S EARLY CHILDHOOD CENTER, INC.",1102 EAST 92ND STREET,11236,1102 EAST 92ND STREET 11236,FY15,2.8
XANA,07X700,SOUTH BRONX HEAD START I,490 EAST 143RD STREET,10454,490 EAST 143RD STREET 10454,FY15,2.8
KCGO,22K700,THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH,1915 ORIENTAL BOULEVARD,11235,1915 ORIENTAL BOULEVARD 11235,FY15,2.8
KCHR,18K700,"APPLE TREE DAY CARE, INC.",440 EAST 48TH STREET,11203,440 EAST 48TH STREET 11203,FY15,2.9
KCBX,18K700,BE ABOVE #26,771 EAST 49 STREET,11203,771 EAST 49 STREET 11203,FY15,2.9
XAJD,12X700,BRONX EARLY CHILDHOOD CENTER,1515 SOUTHERN BOULEVARD,10460,1515 SOUTHERN BOULEVARD 10460,FY14,2.9
KCEB,20K700,BROOKLYN CHINESE-AMERICAN ASSOCIATION,871 50TH STREET,11220,871 50TH STREET 11220,FY14,2.9
M513,06M513,CASTLE BRIDGE SCHOOL,560 WEST 169 STREET,10032,560 WEST 169 STREET 10032,FY14,2.9
XAGC,09X700,HIGHBRIDGE ADVISORY COUNCIL EARLY CHILDHOOD CENTER #1,1594 TOWNSEND AVENUE,10452,1594 TOWNSEND AVENUE 10452,FY14,2.9
KBWE,17K700,INNER FORCE TOTS,1181 EAST NEW YORK AVENUE,11212,1181 EAST NEW YORK AVENUE 11212,FY14,2.9
M057,04M057,JAMES WELDON JOHNSON,176 EAST 115 STREET,10029,176 EAST 115 STREET 10029,FY13,2.9
XALV,10X700,KINGSBRIDGE HEIGHTS COMMUNITY CENTER,295 WEST 231ST STREET,10463,295 WEST 231ST STREET 10463,FY14,2.9
MAPW,04M700,LEGGETT MEMORIAL,237 EAST 104TH STREET,10029,237 EAST 104TH STREET 10029,FY14,2.9
KCKV,15K700,LITTLE NEST PRESCHOOL,511 CHURCH AVENUE,11218,511 CHURCH AVENUE 11218,FY15,2.9
QBAB,29Q700,"MONA PREP DAY CARE, INC.",24115 NORTH CONDUIT AVENUE,11422,24115 NORTH CONDUIT AVENUE 11422,FY13,2.9
XAPU,11X700,NORTH BRONX NCNW CDC,4035 WHITE PLAINS ROAD,10466,4035 WHITE PLAINS ROAD 10466,FY15,2.9
R041,31R041,P.S. 041 NEW DORP,216 CLAWSON STREET,10306,216 CLAWSON STREET 10306,FY13,2.9
