Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
KAJT,ST. FRANCES CABRINI CATHOLIC ACADEMY,181 SUYDAM ST 11221,FY15,4.7
KCJN,STILLWELL AVENUE PREP SCHOOL,6420 BAY PARKWAY 11204,FY15,4.7
KBYJ,"AL MADINAH SCHOOL, INC.",383 3RD AVENUE 11215,FY15,4.6
QBGV,APPLE TREE DAY CARE CENTER (197TH ST),7312 197 STREET 11366,FY14,4.6
KCDI,BETH JACOB OF BOROUGH PARK,1371 46 STREET 11219,FY14,4.6
K627,BRIGHTER CHOICE COMMUNITY SCHOOL,280 HART STREET 11206,FY15,4.6
QBIC,CAMBRIA HEIGHTS CHRISTAIN ACADEMY,220-12 LINDEN BLVD 11411,FY15,4.6
MAWG,EAST HARLEM COUNCIL FOR HUMAN SERVICES BILINGUAL HEAD START PROGRAM,440 EAST 116TH STREET 10029,FY15,4.6
KBXQ,"GAN, INC. - GAN JEWISH DAY CARE",2901 CAMPUS ROAD 11210,FY15,4.6
QBJQ,GARDEN SCHOOL,78-02 NORTHERN BLVD. 11372,FY15,4.6
MASP,GODDARD RIVERSIDE HEAD START CENTER @ W 95TH ST 4,70 WEST 95TH STREET 10025,FY14,4.6
QBCT,KIDDIE ACADEMY OF WHITESTONE,7-05 152ND ST 11357,FY15,4.6
XARQ,LEARNING LADDER DAY CARE CENTER,"100 ALDRICH STREET, BLDG 15A 10475",FY15,4.6
XAIC,LSSMNY: EARLY LIFE CHILDREN'S CENTER 2,888 WESTCHESTER AVENUE 10459,FY14,4.6
QBHL,MY LITTLE FOOTPRINTS DAYCARE CORP.,28-34 38TH STREET 11103,FY15,4.6
QAVP,ON OUR WAY LEARNING CENTER,264 BEACH 19 STREET 11691,FY14,4.6
RABC,OUR LADY OF MOUNT CARMEL ST. BENEDICTA,285 CLOVE ROAD 10310,FY15,4.6
KCHQ,P B CHILDREN'S ACADEMY,4112 AVE D 11203,FY15,4.6
K032,P.S. 032 SAMUELS MILLS SPROLE,317 HOYT STREET 11231,FY15,4.6
R045,P.S. 045 JOHN TYLER,58 LAWRENCE AVENUE 10310,FY15,4.6
X066,P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,1001 JENNINGS STREET 10460,FY15,4.6
Q097,P.S. 097 FOREST PARK,85-52 85 STREET 11421,FY15,4.6
M192,P.S. 192 JACOB H. SCHIFF,500 WEST 138 STREET 10031,FY15,4.6
Q197,P.S. 197 THE OCEAN SCHOOL,825 HICKSVILLE ROAD 11691,FY15,4.6
XAWQ,PHIPPS NEIGHBORHOODS-ROSCOE C. BROWN EARLY CHILDHOOD EDU CENTER,3968 THIRD AVENUE 10457,FY15,4.6
MBGO,SALVATION ARMY NEW YORK TEMPLECORP,132 WEST 14TH STREET 10011,FY15,4.6
KCFA,SCO FAMILY OF SERVICES,225 NEWPORT STREET 11212,FY14,4.6
KBYK,SHELTERING ARMS DAY CARE SERVICES INC.,11 BARTLETT STREET 11206,FY15,4.6
QATM,STAR AMERICA PRESCHOOL,"80-07 BROADWAY, 2/F 11373",FY15,4.6
KBKJ,STRONG PLACE DAY CARE,595 CLINTON STREET 11231,FY14,4.6
MBGY,THE SALVATION ARMY HARLEM TEMPLE COMMUNITY CENTER,540 LENOX AVENUE 10037,FY15,4.6
XAFB,"VILLA MARIA ACADEMY, INC.",3335 COUNTRY CLUB ROAD 10465,FY15,4.6
XANZ,WALTON (CENTER #5),1871 WALTON AVENUE 10453,FY14,4.6
KBIE,ALL MY CHILDREN DAY CARE SITE 16,739 EAST NEW YORK AVENUE 11203,FY14,4.5
KBMB,AUDREY JOHNSON DCC,272 MOFFAT STREET 11207,FY14,4.5
KBCA,BABOVE 32,799 KENT AVENUE 11205,FY15,4.5
QANZ,BATTALION CHRISTIAN ACADEMY,454 BEACH 67 STREET 11692,FY15,4.5
QAPP,BE ABOVE SITE 16,189-26 LINDEN BLVD 11412,FY14,4.5
KBNK,BEDFORD STUYVESANT ECDC 262,262 LEXINGTON AVENUE 11216,FY15,4.5
K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,325 SOUTH 3 STREET 11211,FY14,4.5
KBPO,"BROOKLYN CHILD CARE, INC.",800 POLY PLACE BUILDING 2 11209,FY15,4.5
QBGW,CATHOLIC CHARITIES AT RAVENSWOOD (ANDREW LANDI),2120 35TH AVENUE 11106,FY14,4.5
KAZZ,CORNERSTONE DAY CARE CENTER,289 LEWIS AVENUE 11221,FY15,4.5
MAQM,DAWNING VILLAGE TOO,2211 FIRST AVENUE 10029,FY15,4.5
MATQ,ESCUELA HISPANA MONTESSORI 2,180 SUFFOLK STREET 10002,FY15,4.5
KBLB,FRIENDS OF CROWN HEIGHTS 18,851 LIBERTY AVENUE 11208,FY14,4.5
MAXJ,FT GEORGE HEAD START CENTER # 1,1525 SAINT NICHOLAS AVENUE 10033,FY15,4.5
MAQL,GODDARD RIVERSIDE DAY CARE CENTER@ WEST 84TH ST 3,26 WEST 84TH STREET 10024,FY14,4.5
KBLP,GRAND STREET SETTLEMENT DUAL #3,319 STANHOPE STREET 11237,FY14,4.5
QACJ,JEWISH INSTITUTE OF QUEENS,6005 WOODHAVEN BOULEVARD 11373,FY15,4.5
KBVB,NEW LIFE CHILD DEVELOPMENT CENTER 2,406 GROVE STREET 11237,FY14,4.5
MAYJ,NEW YORK CENTER FOR CHILD DEVELOPMENT,159 W. 127TH STREET 10027,FY15,4.5
QASJ,NORTHSIDE SCHOOL,84-60 PARSONS BLVD 11432,FY15,4.5
R059,P.S. 059 THE HARBOR VIEW SCHOOL,300 RICHMOND TERRACE 10301,FY14,4.5
